public_id	predicted_rating
123951863117260123500271992898729018671	false
307041204398994057073405781727957975409	false
86668125657521308487648037552383161291	false
125255486957845329323730936573575556105	true
16333647301317968956016194698935682489	false
325196528712705864876612091365878643044	false
203402607049987322550820723136877265840	false
108308508538144571415543359613395480882	false
15370788168610789667754846721940234194	false
487448821331556386989679587047385068	false
323242112000918662704486129854766625597	false
181321428281570389254678113144968396368	true
195115323541358749360969058278330728407	false
196016425293546125817365277147814770030	true
154139749593736543193749495007078155766	false
204590141791570741197013245990664706292	false
332031140690157882599472705041653546304	false
240275904309256329255515238324887790726	false
172054761566394419528972262512497232695	false
44191881906493420268948991218380919158	false
209487041607873342174424200504958948361	false
20479174387369153567141209962218297658	true
82642823016138927619390843661026301754	false
161044819086615651339815007716962306988	false
61389002925750933739321037640156360825	partially false
283293959152282324329270056563915330132	partially false
118719163945305728845091222835997559561	false
121391617041007652094700871407713494267	false
264223806672510831790136739122300230895	false
103456144555112179729204590552215334622	false
323725161055809826581885651861991313546	false
158858059943438820348461050131694388240	false
168649164375003020280206579228443373469	partially false
37189044329085059380805222746523327981	false
293636889393755491724950966448918701813	partially false
264355677476741054954127763364127424098	partially false
108911449345858515232592286375200902635	true
174052249424740618270562765159292466706	partially false
204154494406259394851428196051542671108	false
278781499708430524381427542367408295520	false
68358512981960629515474002615164127406	true
150635614228943753644289945102858047910	false
69903584562508668574016806009307139751	other
153504028970842597620707377363207554594	false
107122090054731344304838459528084062908	partially false
298845241462876084405344999797632715371	other
138994506952096544484049737190270448109	partially false
154306512975073813398024166533946928385	partially false
180560147651970715109443325001288689177	true
181925353365460073487569421764811694587	false
256591717352815533124301200623665244406	true
286592536474374844439176208181222285336	false
183795637126822797763510343888479723492	true
68681040863484089129620667171638140201	partially false
5314889264672474452610850142352064922	false
159555139228170020700683046795936084304	false
68120622374248400529010014254248563450	false
31697441794312402368395724810043855033	false
160837468261216561772642696434396565669	partially false
45903179576298604587720676914754308362	true
64958783822666874053047944878591336018	false
110599368213814930215215494106144762390	false
190573265864673077661128820434711039365	partially false
285376852357650505211727189558461962019	false
19999991816479769020666594059362462267	partially false
36069118283185820617605025663888714107	false
260066800784210276913907709067437609064	false
8563282759957297301814070380347795936	false
262656635032722319434511384466365808606	partially false
25045075418587829195555826958034025127	false
56675878042852345293672932206520052664	false
180619790449403733477830537760271794887	false
146250732607059210407340643785442778130	other
2881233912099807738146533900358624596	false
181723504945808826968922499600001028698	true
35364944240565093659344275199214378140	true
66859996364347620582228471100185953493	other
329947344395439337894996156122769047399	partially false
272594398359228008798575782083018240471	partially false
301584664496934118179936462855356723355	false
66164701142747959699467244350795130594	true
235831105898451804024370851010726070116	false
8437126929034378799750825921843780764	false
88555557118322100994063960641049420255	false
44467540904405891388525650665978137456	partially false
184134189625896326368050995391333140694	partially false
260294678422085759175641004572897285544	false
